generic_id,alias,lang
1,гречка,ru
1,гречневая каша,ru
1,гречка отварная,ru
1,гречка варёная,ru
1,buckwheat,en
1,boiled buckwheat,en
1,buckwheat porridge,en
2,гречневая крупа,ru
2,гречка сухая,ru
2,гречка сырая,ru
2,ядрица,ru
2,Гречневая крупа сухая,ru
2,buckwheat groats,en
2,raw buckwheat,en
2,dry buckwheat,en
3,рис,ru
3,рис отварной,ru
3,рис варёный,ru
3,белый рис,ru
3,рис на воде,ru
3,Рис белый отварной,ru
3,rice,en
3,boiled rice,en
3,cooked white rice,en
4,рис сухой,ru
4,рис сырой,ru
4,рисовая крупа,ru
4,Рис белый сухой,ru
4,raw rice,en
4,dry rice,en
4,uncooked white rice,en
5,бурый рис,ru
5,коричневый рис,ru
5,рис бурый отварной,ru
5,нешлифованный рис,ru
5,brown rice,en
5,cooked brown rice,en
6,овсянка,ru
6,овсяная каша,ru
6,овсянка на воде,ru
6,геркулесовая каша,ru
6,oatmeal,en
6,porridge,en
6,cooked oats,en
7,овсянка на молоке,ru
7,овсяная каша на молоке,ru
7,молочная овсяная каша,ru
7,овсянка молочная,ru
7,oatmeal with milk,en
7,milk oatmeal,en
8,геркулес,ru
8,овсяные хлопья,ru
8,овсянка сухая,ru
8,геркулес сухой,ru
8,Овсяные хлопья сухие (геркулес),ru
8,rolled oats,en
8,oat flakes,en
8,dry oats,en
9,перловка,ru
9,перловая каша,ru
9,перловка отварная,ru
9,перловка варёная,ru
9,pearl barley,en
9,boiled barley,en
9,cooked pearl barley,en
10,пшёнка,ru
10,пшённая каша,ru
10,пшено отварное,ru
10,Пшённая каша на воде,ru
10,millet porridge,en
10,cooked millet,en
11,булгур,ru
11,булгур отварной,ru
11,булгур варёный,ru
11,каша булгур,ru
11,bulgur,en
11,cooked bulgur,en
12,киноа,ru
12,киноа отварная,ru
12,квиноа,ru
12,киноа варёная,ru
12,quinoa,en
12,cooked quinoa,en
13,манка,ru
13,манная каша,ru
13,манная каша на молоке,ru
13,каша манная,ru
13,semolina porridge,en
13,semolina,en
13,cream of wheat,en
14,макароны,ru
14,макароны отварные,ru
14,паста,ru
14,спагетти,ru
14,вермишель отварная,ru
14,рожки отварные,ru
14,pasta,en
14,boiled pasta,en
14,cooked spaghetti,en
15,макароны сухие,ru
15,макароны сырые,ru
15,паста сухая,ru
15,dry pasta,en
15,uncooked pasta,en
15,raw pasta,en
16,хлеб,ru
16,белый хлеб,ru
16,хлеб белый,ru
16,хлеб пшеничный,ru
16,Хлеб белый пшеничный,ru
16,white bread,en
16,wheat bread,en
17,чёрный хлеб,ru
17,ржаной хлеб,ru
17,бородинский хлеб,ru
17,Хлеб ржаной (чёрный),ru
17,rye bread,en
17,black bread,en
17,dark bread,en
18,цельнозерновой хлеб,ru
18,хлеб цельнозерновой,ru
18,хлеб с отрубями,ru
18,отрубной хлеб,ru
18,whole grain bread,en
18,whole wheat bread,en
19,батон,ru
19,батон нарезной,ru
19,белый батон,ru
19,булка,ru
19,white loaf,en
19,sliced loaf,en
20,лаваш,ru
20,лаваш тонкий,ru
20,армянский лаваш,ru
20,lavash,en
20,thin flatbread,en
20,armenian flatbread,en
21,хлебцы,ru
21,хлебец,ru
21,хлебцы ржаные,ru
21,хрустящие хлебцы,ru
21,crispbread,en
21,rye crispbread,en
22,сухари,ru
22,сухари пшеничные,ru
22,сухарь,ru
22,сухари белые,ru
22,rusks,en
22,dried bread,en
22,zwieback,en
23,мюсли,ru
23,мюсли сухие,ru
23,мюсли с фруктами,ru
23,мюсли без сахара,ru
23,muesli,en
23,dry muesli,en
24,гранола,ru
24,гранола домашняя,ru
24,гранола с орехами,ru
24,хрустящая гранола,ru
24,granola,en
24,baked granola,en
101,куриная грудка,ru
101,курица,ru
101,куриное филе,ru
101,грудка отварная,ru
101,вареная куриная грудка,ru
101,курогрудь,ru
101,Куриная грудка отварная,ru
101,boiled chicken breast,en
101,chicken breast,en
101,chicken breast boiled,en
102,куриная грудка жареная,ru
102,жареная куриная грудка,ru
102,жареное куриное филе,ru
102,жареная курица,ru
102,курица жареная,ru
102,fried chicken breast,en
102,chicken breast fried,en
101,куриная грудка запеченная,ru
101,запеченная куриная грудка,ru
101,куриное филе запеченное,ru
101,грудка в духовке,ru
101,курица запеченная,ru
101,baked chicken breast,en
101,roasted chicken breast,en
104,куриное бедро,ru
104,бедро куриное,ru
104,куриные бедра,ru
104,бедрышки,ru
104,бедро курицы,ru
104,Куриное бедро запечённое,ru
104,chicken thigh,en
104,baked chicken thigh,en
105,куриная голень,ru
105,голень куриная,ru
105,голени,ru
105,куриная ножка,ru
105,куриные ножки,ru
105,Куриная голень запечённая,ru
105,chicken drumstick,en
105,drumstick,en
106,куриные крылышки,ru
106,крылышки,ru
106,крылья куриные,ru
106,крылышки запеченные,ru
106,Куриные крылышки запечённые,ru
106,chicken wings,en
106,baked chicken wings,en
107,курица гриль,ru
107,гриль курица,ru
107,цыпленок гриль,ru
107,курица на гриле,ru
107,grilled chicken,en
107,rotisserie chicken,en
108,индейка,ru
108,филе индейки,ru
108,индейка запеченная,ru
108,грудка индейки,ru
108,индюшка,ru
108,Филе индейки запечённое,ru
108,turkey breast,en
108,turkey fillet,en
108,baked turkey,en
109,говядина отварная,ru
109,вареная говядина,ru
109,отварная говядина,ru
109,говядина,ru
109,отварное мясо,ru
109,boiled beef,en
109,beef,en
109,beef boiled,en
110,говядина жареная,ru
110,жареная говядина,ru
110,говядина на сковороде,ru
110,жареное мясо,ru
110,fried beef,en
110,beef fried,en
111,свинина жареная,ru
111,жареная свинина,ru
111,свинина,ru
111,свинина на сковороде,ru
